No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
1,1000억 유산균 막걸리,탁주,국내산쌀,5%,750ml,없음,감칠맛,복숭아향,높은당도,높은산도,청량감,,"전, 회무침과 잘 어울린다.",,강원도 횡성군 둔내면 현천리 120
2,11.5도 나루 생 막걸리,탁주,쌀/ 국/ 효모,12%,500ml,없음,감칠맛,바닐라향,높은당도,적당한산도,묵직함/부드러움,,아직 짝이 없어요!,,"서울특별시 성동구 둘레15길 12, 2층 한강주조"
3,1932 새싹땅콩+햅쌀/흑미,탁주,새싹땅콩+고시히카리쌀/새싹땅콩+진도산 흑미,6%,500ml/900ml,없음,신선한맛/고소한맛,,낮은당도,낮은산도,묵직함,흰색,마늘새우와 잘 어울린다.,,경기도 포천시 일동면 운악청계로 1597
4,2017년 햅쌀로 빚은 첫술,탁주, 햅쌀,7%,750ml,없음,쌀맛,쌀향,적당한당도,적당한산도,청량감/부드러움,,아직 짝이 없어요!,,강원도 횡성군 둔내면 강변로 975
5,6도 나루 생 막걸리,탁주,쌀/ 국/ 효모,6%,935ml,없음,,바닐라향/바나나향,적당한당도,적당한산도,묵직함/부드러움,,아직 짝이 없어요!,,"서울특별시 성동구 둘레15길 12, 2층 한강주조"
6,SSOA-포도,리큐르 및 기타주류,국내산 포도,5%,355ml,2014 대한민국우리술품평회 대상 (기타주류 부문),상큼한맛/ 포도맛,,,,청량감,,"피자, 치킨의 기름진 맛을 포도의 상큼함이 깔끔하게 만들어 준다.",,
7,The 찾을수록(복숭아맛),증류주,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아,청포도, 아메리카향)",14%,360ml,없음,,부드러운향,,,부드러움,,식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,,
8,The 찾을수록(사과맛),증류주,"사과와인, 정제수, 정제주정 외 제품별 농축액 (사과, 생강, 감귤)",16%,360ml,없음,쓴맛,,,,묵직함,,아직 짝이 없어요!,,제주 제주시 애월읍 애언로 283
9,가야곡왕주,"약주,청주",쌀/ 야생 국화/ 구기자/ 오미자/ 솔잎/ 매실,13%,750ml,전통식품명인 제13호 남상란,쓴맛,약초향/ 조청향,낮은당도,낮은산도,깔끔함,담황색,갈비와 함께 먹으면 술의 다양한 맛과 향이 갈비의 이취도 없애주어 좋다.,,
10,가평 잣 생 막걸리,탁주,쌀/ 정제수/쌀입국/ 잣/ 효모/ 정제효소 등,6%,750ml,없음,고소한맛,쌀향,낮은당도,낮은산도,부드러움/가벼움,,반찬으로 나오는 우리음식과 모두 잘 어울린다.,,"경기 가평군 하면 대보간선로 26, 29"
11,감그린 레귤러,과실주, 감,12%, 750ml,"2005년 부산APEC정상회의 만찬주

제17~18대 대통령 취임 건배주",떫은맛,감향,적당한당도,적당한산도,,,기름진 음식/소고기류,,경북 청도군 풍각면 봉길1길27
12,감그린 스페셜,과실주, 감,12%, 750ml,"2005년 부산APEC정상회의 만찬주

제17~18대 대통령 취임 건배주",떫은맛,감향,적당한당도,적당한산도,,,아직 짝이 없어요!,,경북 청도군 풍각면 봉길1길27
13,감그린 아이스와인,과실주, 감,10%, 375ml,"2005년 부산APEC정상회의 만찬주

제17~18대 대통령 취임 건배주",떫은맛,아로마향,높은당도,적당한산도,,,치즈류,,경북 청도군 풍각면 봉길1길27
14,감사,"약주,청주",쌀(국내산 경기미 100%)/ 누룩/ 정제수,14%,375ml,없음,드라이한맛,과일향,적당한당도,적당한산도,,,"불고기,잡채",,경기도 용인시 처인구 양지면 죽양대로 2298-1
15,감사블루,"약주,청주",쌀(국내산 경기미 100%)/ 누룩/ 효모/ 정제수,14%,375ml,없음,곡물맛,과일향,적당한당도,적당한산도,부드러움,,아직 짝이 없어요!,,경기도 용인시 처인구 양지면 죽양대로 2298-1
16,감악산 산머루주,과실주, 머루원액 78.5%(경기 파주)/ 주정(국내산/ 수입산),12%, 360ml,없음,,과일향,낮은당도,적당한산도,,,양념된 고기류,,경기 파주시 적성면 객현리 67-1
17,감홍로,증류주,국내산 쌀,40%,400ml,전통식품명인 제43호 이기숙,,약재향,적당한당도,,부드러움,붉은색,"소고기육포, 대구포무침과 잘 어울린다.",,경기도 파주시 파주읍 부곡리 34 ? 7
18,감홍로 백자,증류주,"쌀(70%), 메조(30%), 용안육, 진피, 생강, 정향, 감초, 지초",40%,"400ml, 700ml",없음,,한약재향/은은한향/계피향,낮은당도,,부드러움,,"내포중탕, 녹두전과 같이 기름진 안주와도 잘 어울리며, 바닐라 아이스크림, 초코 케익과도 잘 어울린다.",,경기도 파주시 파주읍 부곡리 34-7
19,강소주,증류주,"국내산 쌀, 정제수",50%,"200ml / 1,800ml",없음,보리특유의크림같은맛,알코올향/ 달콤한향,높은당도,,깔끔함,,아직 짝이 없어요!,,충남 공주시 사곡면 마곡사로 49
