키워드,빈도수
부드러움,180
적당한당도,100
적당한산도,86
높은당도,82
낮은당도,65
낮은산도,63
청량감,60
과일향,48
깔끔한맛,46
감칠맛,42
깔끔함,39
쓴맛,39
묵직함,38
높은산도,34
가벼움,27
적은숙취,21
고소한맛,18
상큼한맛,14
달콤한향,13
깊은맛,12
흰색,12
곡물향,11
떫은맛,11
은은한향,11
붉은색,10
쌀향,10
황금빛,10
고소한향,9
담백한맛,9
발효향,9
복분자향,9
신선한맛,9
인삼향,9
 깔끔한맛,8
신선한향,8
아이보리색,8
진한맛,8
노란색,7
매실향,7
사과향,7
오미자맛,7
알코올향,6
호박색,6
 깔끔함,5
 쓴맛,5
가벼운맛,5
깊은향,5
깔끔한향,5
담황색,5
매운맛,5
바나나향,5
바닐라향,5
배향,5
산뜻한맛,5
솔향,5
순한맛,5
쌀맛,5
알싸한맛,5
약재향,5
오미자향,5
포도향,5
홍삼향,5
 누룩향,4
 상큼한맛,4
 쌀맛,4
걸쭉함,4
곡물맛,4
구수한맛,4
꽃향,4
누룩향,4
밤향,4
배맛,4
복분자맛,4
산양산삼향,4
아로마향,4
유자향,4
은은한맛,4
찹쌀맛,4
투명함,4
 감칠맛,3
 곡물향,3
 달콤한향,3
 묵직함,3
 쌀향,3
곡향,3
구수한향,3
깨끗한맛,3
떠먹는술,3
매실맛,3
밤맛,3
버섯향,3
보리향,3
복숭아향,3
산뜻한향,3
상쾌한맛,3
시원한맛,3
약재맛,3
오디향,3
장미향,3
진한향,3
텁텁함,3
포도맛,3
황갈색,3
 곡물맛,2
 과일향,2
 깨끗한맛,2
 누룩맛,2
 사과향,2
 신맛,2
 청량감,2
감향,2
개운한맛,2
고구마향,2
곡주향,2
귤향,2
딸기맛,2
딸기향,2
뜨거움,2
로즈메리향,2
루비빛,2
맑고청아한맛,2
맑은색,2
메론향,2
버섯맛,2
벌꿀향,2
보리맛,2
부드러운 목넘김,2
붉은빛,2
사과맛,2
산양산삼맛,2
산양삼향,2
삼의쓴맛,2
상큼한향,2
새콤한향,2
쌉쌀한맛,2
약초향,2
연갈색,2
오크향,2
유백색,2
유자맛,2
적은당도,2
찹쌀향,2
청포도향,2
칼칼한맛,2
한약재향,2
향긋한향,2
허브향,2
 감미로운맛,1
 감미로운향,1
 강황맛,1
 강황향,1
 개운한맛,1
 고구마향,1
 국화향,1
 그윽한맛,1
 깊은맛,1
 깨끗한향,1
 단향,1
 담백한맛,1
 더덕맛,1
 레몬향,1
 맑고 투명,1
 매화향,1
 맥주향,1
 무화과향,1
 바닐라향,1
 배맛,1
 버섯향,1
 부드러움,1
 산뜻한맛,1
 산삼맛,1
 산수유맛,1
 산양산삼향,1
 상뜻한향,1
 새콤한맛,1
 솔잎향,1
 수박향,1
 신향,1
 아카시아꿀향,1
 약재향,1
 연꽃향,1
 연록색,1
 오미자향,1
 이국적인맛,1
 인삼맛,1
 인삼향,1
 조청향,1
 청량한향,1
 초콜릿향,1
 커피향,1
 토마토맛,1
 편하게 마실수 있는 술,1
 포도맛,1
 풍부한맛,1
 풍부한향,1
 허브향,1
 훈연나무향,1
 훈연된향,1
가벼운,1
가볍게 즐기기좋다,1
감귤향,1
감색,1
거친맛,1
견과류향,1
계피향,1
고구마맛,1
고린맛,1
고소한향기,1
곡주맛,1
과일맛,1
구기자향,1
국화향,1
그윽한향,1
그을린향,1
기름진맛,1
깨끗함,1
꽃향기,1
꿀향,1
낄끔한맛,1
낮은 청량감,1
녹색,1
단맛,1
담백한향,1
담백함,1
담황갈색빛,1
대나무향,1
대추향,1
더덕향,1
도라지맛,1
도라지향,1
독하지않다,1
두유색,1
드라이한맛,1
라벤다향,1
레몬골드빛,1
레몬맛,1
레몬빛,1
루비색,1
맑고 투명함,1
머루향,1
메론맛,1
무농약,1
묵직한맛,1
문배나무향,1
미색,1
민들레향,1
박하향,1
발효맛,1
배꽃향,1
백련잎향,1
베리향,1
보랏빛,1
보리특유의크림같은맛,1
부드러운향,1
분홍빛,1
불향,1
붉은 빛,1
블루베리향,1
산삼향,1
새콤한맛,1
생강향,1
솔잎향,1
송순향,1
수박향,1
숙취가없다,1
스모키향,1
식물향,1
신맛,1
싱그러운맛,1
쌉싸름한맛,1
아카시아향,1
알코올맛,1
연꽃향,1
연한레몬색,1
연한미색,1
옅은 호박색,1
옅은향,1
옅은호박색,1
오디맛,1
오리엔탈향,1
울금맛,1
울금향,1
원숙한맛,1
인삼맛,1
자극이적다,1
자극적이지 않다,1
자두향,1
자연의색,1
장미빛,1
적정한당도,1
주향,1
죽력맛,1
진달래향,1
짙은 호박색,1
짠맛,1
천연향,1
청량함,1
청사과향,1
청포도맛,1
초콜릿향,1
캬라멜맛,1
탄듯한맛,1
투명한빛,1
투명한황색,1
투박한맛,1
포도껍질향,1
핑크빛,1
한약 특유의향,1
한약재맛,1
한약향,1
향긋한맛,1
향신료향,1
허브맛,1
호박향,1
홍삼맛,1
화려한색,1
황국화향,1
황녹색빛,1
후추맛,1
